2326;Adlm;166;Adlam;adlam;Adlam;9.0;2016-12-05
3390;Afak;439;Afaka;afaka;;;2010-12-21
4239;Aghb;239;Caucasian Albanian;aghbanien;Caucasian_Albanian;7.0;2014-11-15
5108;Ahom;338;Ahom, Tai Ahom;âhom;Ahom;8.0;2015-07-07
11493;Arab;160;Arabic;arabe;Arabic;1.1;2004-05-01
11505;Aran;161;Arabic (Nastaliq variant);arabe (variante nastalique);;1.1;2014-11-15
11812;Armi;124;Imperial Aramaic;araméen impérial;Imperial_Aramaic;5.2;2009-06-01
11817;Armn;230;Armenian;arménien;Armenian;1.1;2004-05-01
14683;Avst;134;Avestan;avestique;Avestan;5.2;2009-06-01
17870;Bali;360;Balinese;balinais;Balinese;5.0;2006-10-10
17908;Bamu;435;Bamum;bamoum;Bamum;5.2;2009-06-01
18062;Bass;259;Bassa Vah;bassa;Bassa_Vah;7.0;2014-11-15
18080;Batk;365;Batak;batik;Batak;6.0;2010-07-23
20624;Beng;325;Bengali (Bangla);bengalî (bangla);Bengali;1.1;2016-12-05
22586;Bhks;334;Bhaiksuki;bhaïksukî;Bhaiksuki;9.0;2016-12-05
25238;Blis;550;Blissymbols;symboles Bliss;;;2004-05-01
27444;Bopo;285;Bopomofo;bopomofo;Bopomofo;1.1;2004-05-01
29075;Brah;300;Brahmi;brahma;Brahmi;6.0;2010-07-23
29076;Brai;570;Braille;braille;Braille;3.0;2004-05-01
31260;Bugi;367;Buginese;bouguis;Buginese;4.1;2006-06-21
31281;Buhd;372;Buhid;bouhide;Buhid;3.2;2004-05-01
35424;Cakm;349;Chakma;chakma;Chakma;6.1;2012-02-06
35508;Cans;440;Unified Canadian Aboriginal Syllabics;syllabaire autochtone canadien unifié;Canadian_Aboriginal;3.0;2004-05-29
35602;Cari;201;Carian;carien;Carian;5.1;2007-07-02
39896;Cham;358;Cham;cham (čam, tcham);Cham;5.1;2009-11-11
40005;Cher;445;Cherokee;tchérokî;Cherokee;3.0;2004-05-01
40344;Chrs;109;Chorasmian;chorasmien;Chorasmian;13.0;2019-08-19
41021;Cirt;291;Cirth;cirth;;;2004-05-01
45025;Copt;204;Coptic;copte;Coptic;4.1;2006-06-21
45617;Cpmn;402;Cypro-Minoan;syllabaire chypro-minoen;;;2017-07-26
45753;Cprt;403;Cypriot syllabary;syllabaire chypriote;Cypriot;4.0;2017-07-26
51829;Cyrl;220;Cyrillic;cyrillique;Cyrillic;1.1;2004-05-01
51836;Cyrs;221;Cyrillic (Old Church Slavonic variant);cyrillique (variante slavonne);;1.1;2004-05-01
55978;Deva;315;Devanagari (Nagari);dévanâgarî;Devanagari;1.1;2004-05-01
58146;Diak;342;Dives Akuru;dives akuru;Dives_Akuru;13.0;2019-08-19
62365;Dogr;328;Dogra;dogra;Dogra;11.0;2016-12-05
